"country","adjectivals","demonyms"
"Palau","Palauan","Palauans"
"Palestine","Palestinian","Palestinians"
"Panama","Panamanian","Panamanians"
"Papua New Guinea","Papua New Guinean,Papuan","Papua New Guineans,Papuans"
"Paraguay","Paraguayan","Paraguayans,Guaraníes"
"Peru","Peruvian","Peruvians,Incas"
"Philippines","Filipino,Philippine","Filipinos,Filipinas,Pinoys"
"Pitcairn Islands","Pitcairn Island","Pitcairn Islanders"
"Poland","Polish","Poles"
"Portugal","Portuguese","Portuguese,Tugas"
"Puerto Rico","Puerto Rican","Puerto Ricans,Boricuas"
"Qatar","Qatari","Qataris"
"Réunion","Réunionese,Réunionnais","Réunionese,Réunionnais,Réunionnaises"
"Romania","Romanian","Romanians"
"Russia","Russian","Russians,Russkies,Soviets"
"Rwanda","Rwandan","Rwandans,Banyarwanda"
"Saba","Saba","Saba Dutch"
"Saint Barthélemy","Barthélemois","Barthélemois,Barthélemoises"
"Saint Helena, Ascension and Tristan da Cunha","Saint Helenian","Saint Helenians"
"Saint Kitts and Nevis","Kittitian or Nevisian","Kittitians,Nevisians"
"Saint Lucia","Saint Lucian","Saint Lucians"
"Saint Martin","Saint-Martinoise","Saint-Martinois,Saint-Martinoises"
"Saint Pierre and Miquelon","Saint-Pierrais or Miquelonnais","Saint-Pierrais,Saint-Pierraises,Miquelonnais,Miquelonnaises"
"Saint Vincent and the Grenadines","Saint Vincentian,Vincentian","Saint Vincentians,Vincentians"
"Samoa","Samoan","Samoans"
"San Marino","Sammarinese","Sammarinese"
"São Tomé and Príncipe","São Toméan","São Toméans"
"Saudi Arabia","Saudi,Saudi Arabian","Saudis,Saudi Arabians"
"Scotland","Scottish,British","Scot,Scotsmen,Scotswomen,na h-Alba"
"Senegal","Senegalese","Senegalese"
"Serbia","Serbian","Serbs,Serbians"
"Seychelles","Seychellois","Seychellois,Seychelloises"
"Sierra Leone","Sierra Leonean","Sierra Leoneans"
"Singapore","Singapore,Singaporean","Singaporeans"
"Sint Eustatius","Sint Eustatius,Statian","Statians"
"Sint Maarten","Sint Maarten","Sint Maartener"
"Slovakia","Slovak","Slovaks"
"Slovenia","Slovenian,Slovene","Slovenes,Slovenians"
"Solomon Islands","Solomon Island","Solomon Islanders"
"Somalia","Somali","Somalis"
"Somaliland","Somalilander","Somalilanders"
"South Africa","South African","South Africans"
"South Georgia and the South Sandwich Islands","South Georgia,South Sandwich Islands",
"South Ossetia","South Ossetian","South Ossetians"
"South Sudan","South Sudanese","South Sudanese"
"Spain","Spanish","Spaniards,Castellanos,Gallegos"
"Sri Lanka","Sri Lankan","Sri Lankans"
"Sudan","Sudanese","Sudanese"
"Surinam","Surinamese","Surinamers"
"Svalbard","Svalbard",
"Swaziland","Swazi","Swazis"
"Sweden","Swedish","Swedes"
"Switzerland","Swiss","Swiss"
"Syria","Syrian","Syrians"
"Taiwan","Taiwanese","Taiwanese"
"Tajikistan","Tajikistani","Tajikistanis,Tajiks"
"Tanzania","Tanzanian","Tanzanians"
"Thailand","Thai","Thai"
"Timor-Leste","Timorese","Timorese,Maubere"
"Togo","Togolese","Togolese"
"Tokelau","Tokelauan","Tokelauans"
"Tonga","Tongan","Tongans"
"Trinidad and Tobago","Trinidadian,Tobagonian","Trinidadians,Tobagonians"
"Tunisia","Tunisian","Tunisians"
"Turkey","Turkish","Turks"
"Turkmenistan","Turkmen","Turkmens"
"Turks and Caicos Islands","Turks and Caicos Island","Turks and Caicos Islanders"
"Tuvalu","Tuvaluan","Tuvaluans"
"Uganda","Ugandan","Ugandans"
"Ukraine","Ukrainian","Ukrainians"
"United Arab Emirates","Emirati,Emirian,Emiri","Emiratis,Emirians,Emiri"
"United Kingdom","British,UK","Britons,British,Englishmen,Englishwomen"
"United States of America","United States,U.S.,USA,American","Americans,Yankees"
"Uruguay","Uruguayan","Uruguayans"
"Uzbekistan","Uzbekistani,Uzbek","Uzbekistanis,Uzbeks"
"Vanuatu","Ni-Vanuatu,Vanuatuan","Ni-Vanuatu"
"Vatican","Vatican","Vatican citizens"
"Venezuela","Venezuelan","Venezuelans"
"Vietnam","Vietnamese","Vietnamese"
"Virgin Islands, British","British Virgin Island","British Virgin Islanders"
"Virgin Islands, United States","U.S. Virgin Island","U.S. Virgin Islanders"
"Wallis and Futuna","Wallis,Futuna,Wallisian,Futunan","Wallis,Futuna Islanders,Wallisians,Futunans"
"Western Sahara","Sahrawi,Sahrawian,Sahraouian","Sahrawis,Sahraouis"
"Yemen","Yemeni","Yemenis"
"Zambia","Zambian","Zambians"
"Zimbabwe","Zimbabwean","Zimbabweans,Zimbos"
